sample,along_scan,along_track,scan_angle,pix_area
578,0.474858,0.64342,50.92,0.305533134
579,0.474525,0.643238,50.9111,0.305232512
580,0.474192,0.643056,50.9022,0.304932011
581,0.473861,0.642875,50.8933,0.30463339
582,0.473529,0.642693,50.8844,0.304333774
583,0.473198,0.642512,50.8755,0.304035393
584,0.472868,0.642331,50.8666,0.303737775
585,0.472538,0.64215,50.8577,0.303440277
586,0.472208,0.641969,50.8488,0.303142898
587,0.471879,0.641788,50.84,0.30284628
588,0.47155,0.641607,50.8311,0.302549781
589,0.471222,0.641427,50.8222,0.302254514
590,0.470894,0.641247,50.8133,0.301959365
591,0.470567,0.641067,50.8044,0.301664975
592,0.47024,0.640887,50.7955,0.301370703
593,0.469914,0.640707,50.7866,0.301077189
594,0.469588,0.640528,50.7777,0.300784262
595,0.469262,0.640348,50.7688,0.300490983
596,0.468937,0.640169,50.7599,0.30019893
597,0.468612,0.639989,50.751,0.299906525
598,0.468288,0.63981,50.7421,0.299615345
599,0.467964,0.639631,50.7332,0.299324281
600,0.46764,0.639452,50.7243,0.299033333
601,0.467318,0.639274,50.7155,0.298744247
602,0.466995,0.639095,50.7066,0.29845417
603,0.466673,0.638917,50.6977,0.298165313
